PreviewChartOffset,SongIndexOffset,FileNameOffset0,FileNameOffset1,FileNameOffset2,FileNameOffset3,FileNameOffset4,Floors,Level,StepchartType,Padding1,UnkownQuestWorld,MissionNameOffset0,MissionNameOffset1,MissionNameOffset2,MissionNameOffset3,MissionNameOffset4,Padding2,Padding3,Padding4,
NO_SONG,NO_SONG,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,0,0,0,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
109,109,s2_2,s2_2,s2_2,s2_2,s2_2,1,2,0,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
109,109,s4_hard,s4_hard,s4_hard,s4_hard,s4_hard,1,4,0,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
109,109,s5_5,s5_5,s5_5,s5_5,s5_5,1,5,0,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
109,109,s12_crazy,s12_crazy,s12_crazy,s12_crazy,s12_crazy,1,12,0,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
109,109,d4_freestyle,d4_freestyle,d4_freestyle,d4_freestyle,d4_freestyle,1,4,2,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
109,109,d14_hp,d14_hp,d14_hp,d14_hp,d14_hp,1,14,2,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
EF1066,109,d,d,d,d,d,2,0,2,0,2,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
EF1701,109,s_mission,s_mission,s_mission,s_mission,s_mission,2,0,0,0,2,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
E0000109,109,s2_2,s2_2,s2_2,s2_2,s2_2,1,2,0,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
E0000109,109,s4_hard,s4_hard,s4_hard,s4_hard,s4_hard,1,4,0,0,0,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,4294967295,4294967295,
